2024-07-30 17:12:52,798 - INFO: N_I=1, N_O=4, N_R=4, N_T=6, count=1, TOPSIS, Execution time: 0.013989 seconds
2024-07-30 17:12:52,824 - INFO: N_I=1, N_O=4, N_R=4, N_T=6, count=2, TOPSIS, Execution time: 0.007195 seconds
2024-07-30 17:12:52,834 - INFO: N_I=1, N_O=9, N_R=4, N_T=7, count=0, TOPSIS, Execution time: 0.017853 seconds
2024-07-30 17:12:52,855 - INFO: N_I=1, N_O=4, N_R=4, N_T=6, count=2, TOPSIS, Execution time: 0.010715 seconds
2024-07-30 17:12:52,869 - INFO: N_I=1, N_O=9, N_R=4, N_T=7, count=1, TOPSIS, Execution time: 0.014602 seconds
2024-07-30 17:12:52,894 - INFO: N_I=1, N_O=4, N_R=4, N_T=6, count=3, TOPSIS, Execution time: 0.012047 seconds
2024-07-30 17:12:52,915 - INFO: N_I=1, N_O=9, N_R=4, N_T=7, count=1, TOPSIS, Execution time: 0.018839 seconds
2024-07-30 17:12:52,916 - INFO: N_I=1, N_O=4, N_R=4, N_T=6, count=3, TOPSIS, Execution time: 0.005438 seconds
2024-07-30 17:12:52,944 - INFO: N_I=1, N_O=4, N_R=4, N_T=6, count=4, TOPSIS, Execution time: 0.008413 seconds
2024-07-30 17:12:52,950 - INFO: N_I=1, N_O=9, N_R=4, N_T=7, count=2, TOPSIS, Execution time: 0.012119 seconds
2024-07-30 17:12:52,974 - INFO: N_I=1, N_O=4, N_R=4, N_T=6, count=4, TOPSIS, Execution time: 0.019650 seconds
2024-07-30 17:12:52,994 - INFO: N_I=1, N_O=9, N_R=4, N_T=7, count=2, TOPSIS, Execution time: 0.020163 seconds
2024-07-30 17:12:52,998 - INFO: N_I=1, N_O=4, N_R=4, N_T=7, count=0, TOPSIS, Execution time: 0.007942 seconds
2024-07-30 17:12:53,033 - INFO: N_I=1, N_O=4, N_R=4, N_T=7, count=0, TOPSIS, Execution time: 0.009007 seconds
2024-07-30 17:12:53,035 - INFO: N_I=1, N_O=9, N_R=4, N_T=7, count=3, TOPSIS, Execution time: 0.010880 seconds
2024-07-30 17:12:53,061 - INFO: N_I=1, N_O=4, N_R=4, N_T=7, count=1, TOPSIS, Execution time: 0.009569 seconds
2024-07-30 17:12:53,081 - INFO: N_I=1, N_O=9, N_R=4, N_T=7, count=3, TOPSIS, Execution time: 0.020661 seconds
2024-07-30 17:12:53,087 - INFO: N_I=1, N_O=4, N_R=4, N_T=7, count=1, TOPSIS, Execution time: 0.012982 seconds
2024-07-30 17:12:53,112 - INFO: N_I=1, N_O=4, N_R=4, N_T=7, count=2, TOPSIS, Execution time: 0.007137 seconds
2024-07-30 17:12:53,114 - INFO: N_I=1, N_O=9, N_R=4, N_T=7, count=4, TOPSIS, Execution time: 0.016183 seconds
2024-07-30 17:12:53,144 - INFO: N_I=1, N_O=4, N_R=4, N_T=7, count=2, TOPSIS, Execution time: 0.020422 seconds
2024-07-30 17:12:53,154 - INFO: N_I=1, N_O=9, N_R=4, N_T=7, count=4, TOPSIS, Execution time: 0.018198 seconds
2024-07-30 17:12:53,176 - INFO: N_I=1, N_O=4, N_R=4, N_T=7, count=3, TOPSIS, Execution time: 0.022040 seconds
2024-07-30 17:12:53,197 - INFO: N_I=1, N_O=9, N_R=4, N_T=8, count=0, TOPSIS, Execution time: 0.018747 seconds
2024-07-30 17:12:53,197 - INFO: N_I=1, N_O=4, N_R=4, N_T=7, count=3, TOPSIS, Execution time: 0.004657 seconds
2024-07-30 17:12:53,229 - INFO: N_I=1, N_O=4, N_R=4, N_T=7, count=4, TOPSIS, Execution time: 0.011858 seconds
2024-07-30 17:12:53,249 - INFO: N_I=1, N_O=9, N_R=4, N_T=8, count=0, TOPSIS, Execution time: 0.025705 seconds
2024-07-30 17:12:53,261 - INFO: N_I=1, N_O=4, N_R=4, N_T=7, count=4, TOPSIS, Execution time: 0.012913 seconds
2024-07-30 17:12:53,286 - INFO: N_I=1, N_O=4, N_R=4, N_T=8, count=0, TOPSIS, Execution time: 0.006534 seconds
2024-07-30 17:12:53,286 - INFO: N_I=1, N_O=9, N_R=4, N_T=8, count=1, TOPSIS, Execution time: 0.015803 seconds
2024-07-30 17:12:53,318 - INFO: N_I=1, N_O=4, N_R=4, N_T=8, count=0, TOPSIS, Execution time: 0.008809 seconds
2024-07-30 17:12:53,333 - INFO: N_I=1, N_O=9, N_R=4, N_T=8, count=1, TOPSIS, Execution time: 0.021109 seconds
2024-07-30 17:12:53,359 - INFO: N_I=1, N_O=4, N_R=4, N_T=8, count=1, TOPSIS, Execution time: 0.013904 seconds
2024-07-30 17:12:53,383 - INFO: N_I=1, N_O=9, N_R=4, N_T=8, count=2, TOPSIS, Execution time: 0.021324 seconds
2024-07-30 17:12:53,387 - INFO: N_I=1, N_O=4, N_R=4, N_T=8, count=1, TOPSIS, Execution time: 0.007246 seconds
2024-07-30 17:12:53,424 - INFO: N_I=1, N_O=4, N_R=4, N_T=8, count=2, TOPSIS, Execution time: 0.009904 seconds
2024-07-30 17:12:53,428 - INFO: N_I=1, N_O=9, N_R=4, N_T=8, count=2, TOPSIS, Execution time: 0.019666 seconds
2024-07-30 17:12:53,454 - INFO: N_I=1, N_O=4, N_R=4, N_T=8, count=2, TOPSIS, Execution time: 0.010455 seconds
2024-07-30 17:12:53,469 - INFO: N_I=1, N_O=9, N_R=4, N_T=8, count=3, TOPSIS, Execution time: 0.018023 seconds
2024-07-30 17:12:53,484 - INFO: N_I=1, N_O=4, N_R=4, N_T=8, count=3, TOPSIS, Execution time: 0.013067 seconds
2024-07-30 17:12:53,512 - INFO: N_I=1, N_O=4, N_R=4, N_T=8, count=3, TOPSIS, Execution time: 0.012856 seconds
2024-07-30 17:12:53,514 - INFO: N_I=1, N_O=9, N_R=4, N_T=8, count=3, TOPSIS, Execution time: 0.027295 seconds
2024-07-30 17:12:53,538 - INFO: N_I=1, N_O=4, N_R=4, N_T=8, count=4, TOPSIS, Execution time: 0.012751 seconds
2024-07-30 17:12:53,550 - INFO: N_I=1, N_O=9, N_R=4, N_T=8, count=4, TOPSIS, Execution time: 0.015578 seconds
2024-07-30 17:12:53,572 - INFO: N_I=1, N_O=4, N_R=4, N_T=8, count=4, TOPSIS, Execution time: 0.017962 seconds
2024-07-30 17:12:53,594 - INFO: N_I=1, N_O=9, N_R=4, N_T=8, count=4, TOPSIS, Execution time: 0.025411 seconds
2024-07-30 17:12:53,608 - INFO: N_I=1, N_O=4, N_R=4, N_T=9, count=0, TOPSIS, Execution time: 0.013992 seconds
2024-07-30 17:12:53,630 - WARNING: Node i1 could not connect to any AP in time step 0.!
2024-07-30 17:12:53,642 - INFO: N_I=1, N_O=4, N_R=4, N_T=9, count=0, TOPSIS, Execution time: 0.012498 seconds
2024-07-30 17:12:53,644 - WARNING: Node i1 could not connect to any AP in time step 0.!
2024-07-30 17:12:53,644 - INFO: N_I=1, N_O=9, N_R=4, N_T=9, count=0, TOPSIS, Execution time: 0.032387 seconds
2024-07-30 17:12:53,682 - INFO: N_I=1, N_O=4, N_R=4, N_T=9, count=1, TOPSIS, Execution time: 0.014974 seconds
2024-07-30 17:12:53,702 - INFO: N_I=1, N_O=9, N_R=4, N_T=9, count=0, TOPSIS, Execution time: 0.030673 seconds
2024-07-30 17:12:53,728 - INFO: N_I=1, N_O=4, N_R=4, N_T=9, count=1, TOPSIS, Execution time: 0.018570 seconds
2024-07-30 17:12:53,750 - INFO: N_I=1, N_O=9, N_R=4, N_T=9, count=1, TOPSIS, Execution time: 0.018831 seconds
2024-07-30 17:12:53,752 - INFO: N_I=1, N_O=4, N_R=4, N_T=9, count=2, TOPSIS, Execution time: 0.007676 seconds
2024-07-30 17:12:53,794 - INFO: N_I=1, N_O=9, N_R=4, N_T=9, count=1, TOPSIS, Execution time: 0.018378 seconds
2024-07-30 17:12:53,794 - INFO: N_I=1, N_O=4, N_R=4, N_T=9, count=2, TOPSIS, Execution time: 0.014552 seconds
2024-07-30 17:12:53,830 - INFO: N_I=1, N_O=4, N_R=4, N_T=9, count=3, TOPSIS, Execution time: 0.011053 seconds
2024-07-30 17:12:53,838 - INFO: N_I=1, N_O=9, N_R=4, N_T=9, count=2, TOPSIS, Execution time: 0.019352 seconds
2024-07-30 17:12:53,860 - WARNING: Node i1 could not connect to any AP in time step 0.!
2024-07-30 17:12:53,866 - INFO: N_I=1, N_O=4, N_R=4, N_T=9, count=3, TOPSIS, Execution time: 0.015367 seconds
2024-07-30 17:12:53,868 - INFO: N_I=1, N_O=9, N_R=4, N_T=9, count=2, TOPSIS, Execution time: 0.008602 seconds
2024-07-30 17:12:53,869 - WARNING: Node i1 could not connect to any AP in time step 0.!
2024-07-30 17:12:53,901 - INFO: N_I=1, N_O=4, N_R=4, N_T=9, count=4, TOPSIS, Execution time: 0.012320 seconds
2024-07-30 17:12:53,929 - INFO: N_I=1, N_O=9, N_R=4, N_T=9, count=3, TOPSIS, Execution time: 0.030345 seconds
2024-07-30 17:12:53,939 - INFO: N_I=1, N_O=4, N_R=4, N_T=9, count=4, TOPSIS, Execution time: 0.017908 seconds
2024-07-30 17:12:53,974 - INFO: N_I=1, N_O=9, N_R=2, N_T=5, count=0, TOPSIS, Execution time: 0.009219 seconds
2024-07-30 17:12:53,994 - INFO: N_I=1, N_O=9, N_R=4, N_T=9, count=3, TOPSIS, Execution time: 0.040270 seconds
2024-07-30 17:12:54,005 - INFO: N_I=1, N_O=9, N_R=2, N_T=5, count=0, TOPSIS, Execution time: 0.010714 seconds
2024-07-30 17:12:54,035 - INFO: N_I=1, N_O=9, N_R=2, N_T=5, count=1, TOPSIS, Execution time: 0.011849 seconds
2024-07-30 17:12:54,044 - INFO: N_I=1, N_O=9, N_R=4, N_T=9, count=4, TOPSIS, Execution time: 0.022182 seconds
2024-07-30 17:12:54,064 - INFO: N_I=1, N_O=9, N_R=2, N_T=5, count=1, TOPSIS, Execution time: 0.020051 seconds
2024-07-30 17:12:54,089 - INFO: N_I=1, N_O=9, N_R=2, N_T=5, count=2, TOPSIS, Execution time: 0.006768 seconds
2024-07-30 17:12:54,101 - INFO: N_I=1, N_O=9, N_R=4, N_T=9, count=4, TOPSIS, Execution time: 0.029799 seconds
2024-07-30 17:12:54,124 - INFO: N_I=1, N_O=9, N_R=2, N_T=5, count=2, TOPSIS, Execution time: 0.010982 seconds
2024-07-30 17:12:54,139 - INFO: N_I=2, N_O=4, N_R=2, N_T=5, count=0, TOPSIS, Execution time: 0.008687 seconds
2024-07-30 17:12:54,167 - INFO: N_I=1, N_O=9, N_R=2, N_T=5, count=3, TOPSIS, Execution time: 0.013147 seconds
2024-07-30 17:12:54,178 - INFO: N_I=2, N_O=4, N_R=2, N_T=5, count=0, TOPSIS, Execution time: 0.014205 seconds
2024-07-30 17:12:54,194 - INFO: N_I=1, N_O=9, N_R=2, N_T=5, count=3, TOPSIS, Execution time: 0.006312 seconds
2024-07-30 17:12:54,214 - INFO: N_I=2, N_O=4, N_R=2, N_T=5, count=1, TOPSIS, Execution time: 0.019653 seconds
2024-07-30 17:12:54,235 - INFO: N_I=1, N_O=9, N_R=2, N_T=5, count=4, TOPSIS, Execution time: 0.011405 seconds
2024-07-30 17:12:54,246 - INFO: N_I=2, N_O=4, N_R=2, N_T=5, count=1, TOPSIS, Execution time: 0.012634 seconds
2024-07-30 17:12:54,270 - INFO: N_I=1, N_O=9, N_R=2, N_T=5, count=4, TOPSIS, Execution time: 0.013733 seconds
2024-07-30 17:12:54,278 - INFO: N_I=2, N_O=4, N_R=2, N_T=5, count=2, TOPSIS, Execution time: 0.010913 seconds
2024-07-30 17:12:54,312 - INFO: N_I=1, N_O=9, N_R=2, N_T=6, count=0, TOPSIS, Execution time: 0.016741 seconds
2024-07-30 17:12:54,312 - INFO: N_I=2, N_O=4, N_R=2, N_T=5, count=2, TOPSIS, Execution time: 0.016741 seconds
2024-07-30 17:12:54,758 - INFO: N_I=2, N_O=4, N_R=4, N_T=5, count=0, TOPSIS, Execution time: 0.014009 seconds
2024-07-30 17:12:54,797 - INFO: N_I=2, N_O=4, N_R=4, N_T=5, count=0, TOPSIS, Execution time: 0.016782 seconds
2024-07-30 17:12:54,818 - INFO: N_I=2, N_O=4, N_R=4, N_T=5, count=1, TOPSIS, Execution time: 0.005044 seconds
2024-07-30 17:12:54,849 - INFO: N_I=2, N_O=4, N_R=4, N_T=5, count=1, TOPSIS, Execution time: 0.015157 seconds
2024-07-30 17:12:54,857 - INFO: N_I=2, N_O=9, N_R=4, N_T=7, count=2, TOPSIS, Execution time: 0.029616 seconds
2024-07-30 17:12:54,886 - INFO: N_I=2, N_O=4, N_R=4, N_T=5, count=2, TOPSIS, Execution time: 0.015615 seconds
